ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,volume,amount
00981.HK,2026-03-18,62.3,62.7,61.1,61.7,61.85,-0.15,-0.24,38618450.0,2385622047.4
00981.HK,2026-03-19,60.5,61.1,59.25,59.75,61.7,-1.95,-3.16,68178947.0,4095921239.69
00981.HK,2026-03-20,59.75,60.45,56.3,56.9,59.75,-2.85,-4.77,86432962.0,5015536159.0
00981.HK,2026-03-23,55.0,55.95,52.8,54.15,56.9,-2.75,-4.83,107629358.0,5834380334.55
00981.HK,2026-03-24,55.05,55.2,53.1,55.2,54.15,1.05,1.94,62381777.0,3394617395.35
00981.HK,2026-03-25,55.6,57.7,55.6,56.5,55.2,1.3,2.36,55556759.0,3135582424.15
00981.HK,2026-03-26,56.0,56.1,52.9,53.15,56.5,-3.35,-5.93,67639023.0,3640332231.0
00981.HK,2026-03-27,52.1,53.45,51.8,52.5,53.15,-0.65,-1.22,55576934.0,2930539747.35
00981.HK,2026-03-30,50.5,51.7,49.32,51.4,52.5,-1.1,-2.1,79858927.0,4044725366.39
00981.HK,2026-03-31,50.8,52.9,50.0,50.7,51.4,-0.7,-1.36,49238685.0,2517391877.75
00981.HK,2026-04-01,52.75,53.65,51.9,52.85,50.7,2.15,4.24,62707381.0,3312618308.05
00981.HK,2026-04-02,52.85,52.85,50.05,51.0,52.85,-1.85,-3.5,65408563.0,3332648260.0
00981.HK,2026-04-08,54.8,57.15,53.95,56.15,51.0,5.15,10.1,120792522.0,6718809753.25
00981.HK,2026-04-09,55.65,57.0,54.5,55.7,56.15,-0.45,-0.8,51135459.0,2865786347.3
00981.HK,2026-04-10,57.0,59.6,56.9,58.25,55.7,2.55,4.58,104483042.0,6108620059.05
00981.HK,2026-04-13,57.4,58.2,56.6,57.15,58.25,-1.1,-1.89,41213698.0,2356011426.4
00981.HK,2026-04-14,58.9,58.9,57.15,57.95,57.15,0.8,1.4,41751669.0,2421186116.75
00981.HK,2026-04-15,59.7,60.45,58.65,59.3,57.95,1.35,2.33,68304303.0,4065827555.2
00981.HK,2026-04-16,59.3,60.15,58.75,59.95,59.3,0.65,1.1,48238382.0,2873327858.9
00981.HK,2026-04-17,60.0,60.45,58.65,59.35,59.95,-0.6,-1.0,43292976.0,2572189053.95
00981.HK,2026-04-20,60.0,60.95,58.8,59.8,59.35,0.45,0.76,56745504.0,3399472544.95
00981.HK,2026-04-21,60.3,60.4,59.3,60.1,59.8,0.3,0.5,35219004.0,2113292179.4
00981.HK,2026-04-22,59.6,60.15,58.45,59.3,60.1,-0.8,-1.33,59394935.0,3512661252.4
00981.HK,2026-04-23,59.9,60.45,57.7,58.45,59.3,-0.85,-1.43,53658696.0,3153160577.25
00981.HK,2026-04-24,57.7,65.3,57.65,64.3,58.45,5.85,10.01,197782770.0,12413152552.85
00981.HK,2026-04-27,67.2,69.95,66.55,68.25,64.3,3.95,6.14,174513759.0,11971408461.6
00981.HK,2026-04-28,68.7,68.9,65.3,66.05,68.25,-2.2,-3.22,95445464.0,6391136782.05
00981.HK,2026-04-29,65.65,66.25,64.1,65.8,66.05,-0.25,-0.38,65251961.0,4257623647.65
00981.HK,2026-04-30,66.35,71.7,66.0,70.9,65.8,5.1,7.75,168177459.0,11666287375.1
00981.HK,2026-05-04,72.0,74.65,72.0,72.15,70.9,1.25,1.76,39679795.0,2915603399.85
00981.HK,2026-05-05,71.3,71.9,70.1,70.8,72.15,-1.35,-1.87,17343650.0,1226803515.7
00981.HK,2026-05-06,73.75,79.4,73.6,74.85,70.8,4.05,5.72,216090246.0,16500926016.15
00981.HK,2026-05-07,76.55,79.4,74.35,76.75,74.85,1.9,2.54,145130185.0,11133754576.4
00981.HK,2026-05-08,74.85,75.3,72.5,73.35,76.75,-3.4,-4.43,106496499.0,7803020446.35
00981.HK,2026-05-11,75.65,77.85,75.55,76.6,73.35,3.25,4.43,110370158.0,8474024541.0
00981.HK,2026-05-12,77.95,78.0,73.4,76.6,76.6,0.0,0.0,99822983.0,7561506977.1
00981.HK,2026-05-13,74.35,75.2,72.1,74.15,76.6,-2.45,-3.2,86814246.0,6430596721.75
00981.HK,2026-05-14,75.3,76.1,71.5,71.5,74.15,-2.65,-3.57,98394521.0,7186543598.7
00981.HK,2026-05-15,73.9,76.65,70.75,71.15,71.5,-0.35,-0.49,156841011.0,11574741504.15
00981.HK,2026-05-18,70.55,72.65,67.6,68.7,71.15,-2.45,-3.44,118961756.0,8304258621.64
00981.HK,2026-05-19,67.95,69.4,65.2,68.5,68.7,-0.2,-0.29,119791532.0,8014463903.8
00981.HK,2026-05-20,68.05,77.45,67.6,75.15,68.5,6.65,9.71,258516139.0,19218462575.85
00981.HK,2026-05-21,78.0,79.4,73.5,74.2,75.15,-0.95,-1.26,179007685.0,13771155178.7
00981.HK,2026-05-22,76.85,80.1,73.6,79.85,74.2,5.65,7.61,212610930.0,16513887812.45
00981.HK,2026-05-26,91.8,93.0,84.1,84.4,79.85,4.55,5.7,371835947.0,32579806617.8
00981.HK,2026-05-27,86.0,89.45,83.15,85.2,84.4,0.8,0.95,192709679.0,16653965063.8
00981.HK,2026-05-28,84.95,92.5,84.3,88.25,85.2,3.05,3.58,264369889.0,23659568499.92
00981.HK,2026-05-29,88.5,89.65,80.8,81.6,88.25,-6.65,-7.54,214921589.0,18216477284.68
00981.HK,2026-06-01,81.3,84.3,78.55,79.45,81.6,-2.15,-2.63,140374235.0,11359210365.85
00981.HK,2026-06-02,79.85,83.4,79.15,81.95,79.45,2.5,3.15,104037549.0,8492423021.9
00981.HK,2026-06-03,83.05,85.8,81.9,82.95,81.95,1.0,1.22,111192799.0,9361647471.05
00981.HK,2026-06-04,81.65,84.75,80.0,81.5,82.95,-1.45,-1.75,100629284.0,8331977554.1
00981.HK,2026-06-05,80.8,81.45,75.35,75.65,81.5,-5.85,-7.18,192990499.0,14927141279.05
00981.HK,2026-06-08,73.0,76.1,71.15,72.55,75.65,-3.1,-4.1,140624827.0,10255444048.95
00981.HK,2026-06-09,73.0,76.8,71.6,75.0,72.55,2.45,3.38,96331167.0,7189351420.8
00981.HK,2026-06-10,74.05,77.8,71.05,72.35,75.0,-2.65,-3.53,108384523.0,7967409050.2
00981.HK,2026-06-11,72.3,73.55,70.5,73.3,72.35,0.95,1.31,80335506.0,5782299307.37
00981.HK,2026-06-12,75.55,77.0,71.3,71.65,73.3,-1.65,-2.25,101440814.0,7534475268.4
00981.HK,2026-06-15,74.0,76.95,72.65,76.65,71.65,5.0,6.98,99265387.0,7521190504.65
00981.HK,2026-06-16,77.45,77.95,72.95,74.0,76.65,-2.65,-3.46,74473870.0,5588484275.9
00981.HK,2026-06-17,73.0,76.5,72.4,75.75,74.0,1.75,2.36,97501973.0,7279235013.3
00981.HK,2026-06-18,76.1,79.45,73.75,76.5,75.75,0.75,0.99,203554119.0,15559424914.7
00981.HK,2026-06-22,78.8,82.4,77.15,78.9,76.5,2.4,3.14,171994651.0,13669507199.7
00981.HK,2026-06-23,79.2,84.1,76.5,77.85,78.9,-1.05,-1.33,182963530.0,14700757649.15
00981.HK,2026-06-24,77.6,86.45,77.6,84.8,77.85,6.95,8.93,218098916.0,18241345080.4
00981.HK,2026-06-25,87.4,88.7,83.8,86.0,84.8,1.2,1.42,127969567.0,11048462055.25
00981.HK,2026-06-26,84.5,85.25,79.05,80.0,86.0,-6.0,-6.98,142920129.0,11608917778.0
00981.HK,2026-06-29,79.55,85.8,79.35,84.8,80.0,4.8,6.0,124513219.0,10281331877.7
00981.HK,2026-06-30,84.6,91.55,84.25,89.4,84.8,4.6,5.42,176623921.0,15767983901.05
